name;description;category;year_published
25 Words or Less;"Players divide up into two teams.  The current clue-givers look at a list of five words that they're going to have to get their teammates to say using only words (aka, no sounds or gestures).  The clue-givers bid on the number of words that they can accomplish the feat, with the lowest bid getting the honor of doing so.  If the team cannot successfully name the words in the allotted time and with the bid number of words (or less), then the other team gets the point.  The first team to collect ten points is the winner.&#10;&#10;Won Games Magazine Game of the Year award in 1997.&#10;&#10;";Party Game,Word Game;1996
Royal Tank Corps;"From a session report:&#10;&#10;Ted Raicer's new game of the WWI Battle of Cambrai using a variant of the &quot;Storm Over Arnhem&quot; area/impulse system.&#10;&#10;Also published in Separate Volume #20 of Command Magazine Japan, together with 1918: Storm in the West.&#10;&#10;";Wargame,World War I;2000
Ultimate Outburst;"Ultimate Ouburst is a superset of the original Outburst! featuring 2 extra rounds of play.  ReverseBurst where you hear and answers and guess the topic and Challenge Outburst where you bid against the opponents.&#10;&#10;It also features updated topics.&#10;&#10;";Party Game;1999
French Foreign Legion;"(from the back of the box:)&#10;&#10;The French Foreign Legion is based on a genre of movies and serials that feature hard-cased Legionnaires defending a desert fort against hordes of fanatical tribesmen. The action is fast, furious, and unpredictable as the Bedouins rush the walls, throw their grappling hooks, and climb up for furious melees with the tough defenders. Can the walls be held, or is it time to fall back to the inner buildings? Will dynamite breach the walls, and will the heat cause men to be seized by &quot;the madness&quot;? What about the mutiny that was brewing? Can the discipline and strong defenses stop overwhelming numbers? Tune in next week for chapter 5, or play a game of THE FRENCH FOREIGN LEGION.&#10;&#10;";Wargame;1982
Dark Future;"Apocalyptic future car racing.&#10;&#10;Similar in style to Auto-Duel or Car-Wars but simpler with that Games Workshop Style. Not related to R.Talsorian's Cyberpunk RPG.&#10;&#10;Build armed vehicles using a point based system and race or fight it out on winding roads that change each game.&#10;&#10;";Miniatures,Racing,Science Fiction,Transportation,Wargame;1988
Scrabble Sentence Cube Game;"Players in turn roll the 21 word cubes, set the timer and form sentences with the words appearing on the tops of the cubes in a crossword puzzle-like fashion (one word may be part of two sentences - one running vertically and one running horizontally). Turns end when the egg timer runs out. Players score 50 points for each sentence of 7 words or more. All other sentences score the square of the number of words in the sentence (i.e. a 4-word sentence scores 4 X 4, or 16 points). A bonus of 50 points is awarded if all 21 cubes are used. Two points are deducted for each unused cube.&#10;&#10;The 1983 version of the game seems to differ in the number of cubes.  The rules on the inside of the box lid still have a 1971 copyright date, but among other differences, they state that the game contains 27 cubes.  Two of the new cubes are marked with stars on all six sides, making them wild.  From the 1983 rules: &quot;When playing a wild cube, a player must state what word it represents, after which it cannot be changed during that turn.&quot;&#10;&#10;The 1988 version has 24 cubes - two of which are the starred wild dice. The box states that this is the 2nd edition of the game from Coleco Games. Selchow &amp; Righter is credited in the directions as a subsidiary of Coleco Industries, Inc. The majority of the outer box is blue.&#10;&#10;";Dice,Word Game;1971
Piecepack;"Piecepack is to board games what a Standard Deck of Playing Cards is to card games. It is a set of components that can be used to play many games. Included in each set are tiles to build the board, allowing for boards of various shapes and sizes, coins in varying suits and values, dice in suits and values, and player pawns.&#10;&#10;See Piecepack Game System for a detailed look at the system and its games.&#10;&#10;Thus far, over 100 games have been developed for piecepack sets, and since it is an open-source type system, new games appear frequently.&#10;&#10;The other interesting thing is that piecepack sets are public domain. Anyone can make one, even for profit, without paying any sort of royalties of any kind.  It is generally requested that they conform to some standard dimensions, but otherwise, they are free to make and sell.&#10;&#10;The suggested Piecepack dimensions make them compatible with Looney Pyramids.&#10;&#10;";Game System;2001
Age of Empires II;"The Age of Empires Expandable Card Game is a CCG based on the Microsoft computer game Age of Empires II: Age of Kings.  There was one Expansion printed, Nautical, which added 4 new civilizations and sea units/buildings/upgrades, along with some additional events.&#10;&#10;";Card Game,Collectible Components,Fighting,Medieval;2000
Men Are from Mars, Women Are from Venus;"A game inspired by the book by John Gray.  Each turn one player draws a card and must answer a multiple choice question.  The other players attempt to guess how that player will answer.  Points are awarded for guessing correctly.  The questions deal with provocative and sometimes sensitive topics (sexuality, values, etc.), so one of the choices that is available to the answerer is &quot;choose not to answer&quot; (called the &quot;cave&quot; for men and &quot;well&quot; for women).&#10;&#10;";Party Game;1998
SongBurst 50's & 60's Edition;"&quot;The Complete-the-Lyric Game&quot;&#10;&#10;Two or three teams attempt to complete lyrics from popular songs.  Players are given the year, the artist, the song title and the first two or three words; if nobody can get it, then more words are revealed.&#10;&#10;";Music,Trivia;1990
